ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-4535214,Source1,2,2022-02-18 16:53:00,2022-02-18 18:59:00,32.771645,-117.161407,32.730856,-117.15468,2.845,Slow traffic on CA-163 S from Genesee Ave (CA-163) to I-5/Park Blvd (CA-163) due to accident.,Friars Rd,San Diego,San Diego,CA,92108,US,US/Pacific,KMYF,2022-02-18 16:53:00,63.0,63.0,40.0,29.69,10.0,NW,14.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2127689,Source2,2,2019-05-28 07:37:44,2019-05-28 08:45:19,33.436073,-111.926163,,,0.0,Right hand shoulder blocked due to accident on AZ-202-LOOP Westbound near Exit 7 Scottsdale Rd.,N Scottsdale Rd,Tempe,Maricopa,AZ,85281,US,US/Mountain,KPHX,2019-05-28 07:51:00,64.0,64.0,37.0,28.66,10.0,E,7.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-6609749,Source1,2,2020-11-30 12:57:30,2020-12-01 01:48:29,25.89866,-80.382801,25.895972,-80.379142,0.294,Stationary traffic on US-27 S - FL-25 from FL-821/Florida's Tpke (US-27) to 138th St (US-27) due to accident., W Okeechobee Rd,Miami,Miami-Dade,FL,33178,US,US/Eastern,KMIA,2020-11-30 12:53:00,83.0,83.0,58.0,29.89,10.0,WSW,14.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6214306,Source1,2,2021-07-21 18:13:56,2021-07-21 18:32:30,38.132332,-77.511383,38.12196,-77.51632,0.765,Slow traffic on I-95 S from US-17/US-1/Exit 126 (I-95) to VA-639/Exit 110 (I-95) due to accident.,I-95 S,Woodford,Spotsylvania,VA,22580,US,US/Eastern,KEZF,2021-07-21 18:15:00,84.0,84.0,54.0,29.79,10.0,NNE,3.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2881976,Source2,2,2018-04-12 07:30:27,2018-04-12 08:30:18,29.75239,-95.364708,,,0.0,Accident on Clay St at Caroline St.,Caroline St,Houston,Harris,TX,77002-6904,US,US/Central,KMCJ,2018-04-12 07:55:00,64.4,,94.0,29.98,9.0,Variable,4.6,,Clear,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-2635201,Source2,2,2018-08-09 15:11:13,2018-08-09 15:40:52,41.926895,-73.912605,,,0.0,Right hand shoulder blocked due to accident on NY-308 Market St Eastbound at US-9 Mill St.,Mill St,Rhinebeck,Dutchess,NY,12572-1427,US,US/Eastern,KPOU,2018-08-09 14:53:00,84.0,,55.0,29.75,10.0,West,5.8,,Scattered Clouds,False,False,True,False,False,False,False,False,True,False,False,True,False,Day,Day,Day,Day
A-5659848,Source1,2,2021-11-09 23:47:00,2021-11-10 01:03:40,25.794969,-80.258877,25.794973,-80.25903000000002,0.01,Incident on NW 21ST ST WB near HOUSE 3900 Drive with caution., NW 21st St,Miami,Miami-Dade,FL,33142-6704,US,US/Eastern,KMIA,2021-11-09 23:53:00,70.0,70.0,78.0,30.09,10.0,N,3.0,0.0,Mostly Cloudy,True,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-3086025,Source2,3,2018-01-25 11:30:19,2018-01-25 12:14:33,35.753944,-78.635696,,,0.0,Accident on I-40 Eastbound at Exit 299 Hammond Rd.,I-40 W,Raleigh,Wake,NC,27603,US,US/Eastern,KRDU,2018-01-25 11:51:00,43.0,38.8,40.0,30.52,10.0,NNE,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1506844,Source3,2,2020-06-15 08:17:29,2020-06-15 08:47:18,34.243271,-118.424461,,,0.0,Accident on Bartee Ave near Osborne St.,Bartee Ave,Arleta,Los Angeles,CA,91331-4606,US,US/Pacific,KWHP,2020-06-15 07:50:00,64.0,64.0,64.0,28.92,10.0,ESE,5.0,,Fair,False,False,False,False,False,False,False,False,False,True,False,False,False,Day,Day,Day,Day
A-674983,Source2,2,2022-03-16 15:15:36,2022-03-16 15:44:24,34.651295000000005,-86.816582,,,0.0,Lane blocked due to crash on I-565 Eastbound after Exit 3 CR-115 Greenbrier Pkwy.,I-565,Madison,Limestone,AL,35756,US,US/Central,KHSV,2022-03-16 14:53:00,64.0,64.0,75.0,29.24,10.0,CALM,0.0,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-674620,Source2,2,2022-03-16 18:56:36,2022-03-16 19:26:44,34.03714,-81.090858,,,0.0,Crash on US-176 Broad River Rd at Longcreek Dr.,Longcreek Dr,Columbia,Richland,SC,29210-8302,US,US/Eastern,KCAE,2022-03-16 18:56:00,62.0,62.0,93.0,29.69,8.0,ENE,3.0,0.09,Light Rain,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-5296533,Source1,2,2022-02-16 08:30:07.000000000,2022-02-16 10:15:30.000000000,28.64042401300125,-81.42232775649347,28.63918401300125,-81.40628775649346,0.976,Stationary traffic on FL-414 from Rose Ave (FL-414) to FL-434/Forest City Rd (FL-414) due to accident.,Maitland Blvd,Altamonte Springs,Seminole,FL,32714,US,US/Eastern,KORL,2022-02-16 08:53:00,67.0,67.0,70.0,30.28,10.0,ENE,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5436922,Source1,2,2022-08-10 18:28:09,2022-08-10 19:13:09,39.16133523,-94.81736541,39.15813523,-94.82223541,0.342,Accident at exit [16].,KS-5,Kansas City,Wyandotte,KS,66109,US,US/Central,KNKA,2022-08-10 18:54:00,86.0,86.0,43.0,29.28,10.0,E,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7173962,Source1,2,2020-04-13 19:14:42,2020-04-13 19:44:42,35.19002000000001,-80.79835,35.19002000000001,-80.79835,0.0,At Randolph Rd - Accident., Marvin Rd,Charlotte,Mecklenburg,NC,28211-1115,US,US/Eastern,KCLT,2020-04-13 18:52:00,77.0,77.0,43.0,29.08,10.0,SW,10.0,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-3983218,Source1,2,2022-03-22 07:22:30.000000000,2022-03-22 11:12:00.000000000,33.120965000000005,-117.32149,33.100054,-117.308585,1.626,Slow traffic on San Diego Fwy S - I-5 S from Cannon Rd (I-5) to Poinsettia Ln (I-5) due to accident.,I-5 S,Carlsbad,San Diego,CA,92011,US,US/Pacific,KCRQ,2022-03-22 06:53:00,55.0,55.0,72.0,29.68,10.0,ENE,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2826531,Source2,2,2018-05-16 17:45:34,2018-05-16 18:14:43,42.442745,-83.754082,,,0.0,Left lane blocked due to accident on US-23 Northbound at M-36 9 Mile Rd.,US-23 N,Brighton,Livingston,MI,48116,US,US/Eastern,KOZW,2018-05-16 17:55:00,76.8,,40.0,29.97,10.0,NNW,3.5,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2876571,Source2,2,2018-04-10 07:45:54,2018-04-10 08:15:03,30.452003,-91.102585,,,0.0,Accident on US-61 Bus Florida Blvd Westbound around Airport Ave.,E Airport Ave,Baton Rouge,East Baton Rouge,LA,70806,US,US/Central,KBTR,2018-04-10 07:53:00,55.9,,67.0,30.17,10.0,North,6.9,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1722555,Source2,2,2019-12-17 07:07:45,2019-12-17 07:39:00,39.711113,-104.99913,,,0.0,Accident on I-25 Southbound near Exit 207B US-85 Santa Fe Dr.,I-25 S,Denver,Denver,CO,80223,US,US/Mountain,KAPA,2019-12-17 06:53:00,18.0,11.0,40.0,24.33,10.0,SSW,5.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-19908,Source2,2,2016-09-13 22:15:22,2016-09-13 22:45:22,38.654133,-121.382942,,,0.0,Accident on Watt Ave at Myrtle Ave.,Watt Ave,North Highlands,Sacramento,CA,95660-5110,US,US/Pacific,KMCC,2016-09-13 22:15:00,62.6,,59.0,29.99,10.0,SSW,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Night
A-5225149,Source1,2,2022-11-10 20:28:00.000000000,2022-11-10 21:56:53.000000000,30.5084002,-91.17196441,30.5079902,-91.17171441,0.032,Incident on SCENIC HWY near AIRLINE HWY Drive with caution.,Scenic Hwy,Baton Rouge,East Baton Rouge,LA,70805,US,US/Central,KBTR,2022-11-10 20:53:00,63.0,63.0,75.0,29.77,10.0,NNW,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-6549508,Source1,2,2021-01-05 01:56:00,2021-01-05 04:46:28,38.087915,-122.231751,38.089805,-122.230831,0.14,EB 80 JWO 780. [FSP] has closed their incident [210104GGFSP00183],I-80 E,Vallejo,Solano,CA,94591,US,US/Pacific,KAPC,2021-01-05 01:54:00,37.0,37.0,93.0,30.23,0.5,CALM,0.0,0.0,Fog,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3578098,Source1,2,2017-03-09 11:35:36,2017-03-09 17:35:36,33.968791,-84.52694100000002,33.967254,-84.525474,0.135,At GA-120-LOOP/Exit 265 - Accident.,I-75 S,Marietta,Cobb,GA,30062,US,US/Eastern,KMGE,2017-03-09 11:58:00,68.7,,22.0,30.26,10.0,WNW,5.8,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7270277,Source1,2,2020-02-20 14:02:56,2020-02-20 18:02:56,43.59297,-123.24644,43.59297,-123.24644,0.0,At CR-7/CR-8/Scotts Valley Rd/Exit 154 - Accident.,I-5 N,Yoncalla,Douglas,OR,97499,US,US/Pacific,KRBG,2020-02-20 13:53:00,60.0,60.0,38.0,29.59,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4674830,Source1,2,2022-10-12 15:51:06,2022-10-12 17:54:25,39.056366,-77.154224,39.056444,-77.154721,0.027,MD 927 EAST AT I-270,Dwight D Eisenhower Hwy N,Rockville,Montgomery,MD,20852,US,US/Eastern,KGAI,2022-10-12 15:56:00,70.0,70.0,55.0,29.51,,S,12.0,0.0,Fair,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6085916,Source1,2,2021-03-25 18:34:22,2021-03-25 20:11:51,43.68881821611553,-93.32019925072994,43.68432821611553,-93.32114925072996,0.314,Incident on I-35 SB near I-90 Drive with caution.,I-35 S,Albert Lea,Freeborn,MN,56007,US,US/Central,KAEL,2021-03-25 18:35:00,48.0,44.0,62.0,28.48,10.0,NE,10.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-5445724,Source1,2,2022-08-18 21:00:00,2022-08-18 22:22:00,30.504587,-91.144249,30.509065000000003,-91.144404,0.31,Incident on BEECHWOOD DR near DENHAM ST Drive with caution., Beechwood Dr,Baton Rouge,East Baton Rouge,LA,70805-1807,US,US/Central,KBTR,2022-08-18 20:53:00,80.0,80.0,87.0,29.84,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-1542566,Source3,3,2020-03-26 16:25:54,2020-03-26 17:25:37,34.057327,-118.165031,,,0.0,Lane closed on exit ramp due to accident on I-710 Northbound at Exit 21 Corporate Center Dr.,I-710 N,Monterey Park,Los Angeles,CA,91754,US,US/Pacific,KCQT,2020-03-26 16:52:00,61.0,61.0,35.0,29.75,10.0,W,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-2017804,Source2,2,2019-08-12 05:55:35,2019-08-12 06:55:20,33.466942,-82.01059000000002,,,0.0,Accident on Wrightsboro Rd at Heard Ave.,Wrightsboro Rd,Augusta,Richmond,GA,30904-4760,US,US/Eastern,KDNL,2019-08-12 05:53:00,78.0,78.0,84.0,29.5,10.0,E,6.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Night,Day,Day
A-2672852,Source2,3,2018-08-28 06:49:30,2018-08-28 07:19:02,34.033669,-84.576927,,,0.0,Right lane blocked and right hand shoulder blocked due to accident on I-75 Southbound at Exit 271 Chastain Rd.,Chastain Rd NW,Kennesaw,Cobb,GA,30144,US,US/Eastern,KRYY,2018-08-28 06:48:00,72.0,,91.0,29.36,10.0,Calm,,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-5152274,Source1,2,2022-06-16 11:16:30.000000000,2022-06-16 13:49:07.000000000,33.781738,-78.988703,33.790759,-78.996824,0.778,Stationary traffic on US-501 N from SC-31/Carolina Bays Pkwy (US-501) to US-501 Bus (Red Hill)/SC-544 (US-501) due to accident., E Highway 501,Conway,Horry,SC,29526-9512,US,US/Eastern,KHYW,2022-06-16 11:15:00,84.0,84.0,62.0,30.14,10.0,CALM,0.0,0.0,Partly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4152380,Source1,2,2022-12-30 16:40:00.000000000,2022-12-30 19:11:00.000000000,33.778744,-117.87663,33.741399,-117.836312,3.467,Slow traffic on Santa Ana Fwy S - I-5 S from Chapman Ave (I-5) to CA-55 (I-5) due to accident.,I-5 S,Santa Ana,Orange,CA,92706,US,US/Pacific,KSNA,2022-12-30 16:30:00,60.0,60.0,80.0,30.02,10.0,SSW,7.0,0.0,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-3628923,Source1,3,2017-06-12 13:25:50,2017-06-12 19:25:50,41.76364,-87.90538000000002,41.77227,-87.90653,0.599,Ramp to Exit 277A - Accident.,Commonwealth Ave,La Grange,Cook,IL,60525,US,US/Central,KMDW,2017-06-12 13:53:00,91.9,,41.0,29.89,10.0,SSW,11.5,,Partly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-685944,Source2,2,2022-03-07 17:54:31,2022-03-07 18:57:10,33.66193,-117.87545,,,0.0,Lane blocked due to crash on Campus Dr at Bristol St.,Bristol St S,Newport Beach,Orange,CA,92660,US,US/Pacific,KSNA,2022-03-07 17:53:00,65.0,65.0,33.0,30.08,10.0,W,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Night,Day,Day,Day
A-500188,Source2,2,2017-07-25 06:47:54,2017-07-25 07:47:43,34.066238,-84.292969,,,0.0,Accident on Haynes Bridge Rd at Devore Rd.,Haynes Bridge Rd,Alpharetta,Fulton,GA,30009-2133,US,US/Eastern,KPDK,2017-07-25 06:53:00,73.0,,93.0,30.04,6.0,Calm,,,Mostly Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-142732,Source2,2,2016-07-04 05:06:45,2016-07-04 05:51:45,27.958998,-82.538826,,,0.0,Shoulder blocked on exit ramp due to accident on FL-60 Memorial Hwy at Spruce St.,Memorial Hwy N,Tampa,Hillsborough,FL,33607,US,US/Eastern,KTPA,2016-07-04 04:53:00,80.1,,81.0,30.11,10.0,ESE,3.5,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Day
A-3591248,Source1,2,2017-03-15 08:31:59,2017-03-15 14:31:59,37.37469,-122.06781,37.38022,-122.06779,0.382,At CA-82/El Camino Real - Accident.,Norman Y Mineta Hwy,Mountain View,Santa Clara,CA,94040,US,US/Pacific,KNUQ,2017-03-15 08:32:00,55.9,,93.0,30.14,10.0,Calm,,,Mostly Cloudy,False,False,False,False,True,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7590183,Source1,3,2018-04-04 01:23:23,2018-04-04 07:23:23,34.07574,-118.46878999999998,34.07921,-118.47178,0.295,At Moraga Dr/Exit 57B - Accident.,San Diego Fwy S,Los Angeles,Los Angeles,CA,90049,US,US/Pacific,KSMO,2018-04-04 01:51:00,55.0,,89.0,30.02,8.0,SE,3.5,,Overcast,False,False,False,False,True,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-463320,Source2,3,2017-06-26 11:38:48,2017-06-26 12:08:25,33.346985,-117.158836,,,0.0,Accident on I-15 Northbound at Exit 46 CA-76 Pala Rd.,I-15 N,Fallbrook,San Diego,CA,92028,US,US/Pacific,KNFG,2017-06-26 11:55:00,79.0,,56.0,29.93,7.0,SSW,9.2,,Clear,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7296001,Source1,2,2019-12-31 18:04:00,2019-12-31 18:57:03,45.07449,-93.28686,45.07449,-93.28686,0.0,At 66th Ave - Accident.,State Highway 252,Minneapolis,Hennepin,MN,55430,US,US/Central,KMIC,2019-12-31 17:53:00,18.0,9.0,71.0,28.87,10.0,WSW,7.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Night,Night,Night,Day
A-1150566,Source2,2,2021-02-16 16:37:36,2021-02-16 18:00:42,35.102829,-81.092438,,,0.0,Accident on SC-274 at Autumn Cove Dr.,Charlotte Hwy,Clover,York,SC,29710-7522,US,US/Eastern,KAKH,2021-02-16 16:54:00,51.0,51.0,46.0,29.06,10.0,VAR,6.0,0.0,Fair,False,False,True,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-3767724,Source1,2,2022-06-17 16:29:00,2022-06-17 16:41:30,39.285621,-120.699496,39.291802,-120.683748,0.944,Slow traffic on I-80 E from Blue Canyon Rd/Exit 155 (I-80) to Nyack Rd/Exit 156 (I-80) due to accident.,I-80 E,Alta,Placer,CA,95701,US,US/Pacific,KBLU,2022-06-17 16:52:00,49.0,45.0,50.0,24.64,10.0,S,10.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-1650083,Source2,3,2020-02-14 13:08:51,2020-02-14 13:53:19,44.63023,-123.06179,,,0.0,Accident on I-5 Northbound at Exit 233 US-20 Santiam Hwy.,Santiam Hwy SE,Albany,Linn,OR,97322,US,US/Pacific,KCVO,2020-02-14 12:56:00,50.0,50.0,66.0,29.99,10.0,VAR,3.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6769350,Source1,2,2020-10-28 13:19:00,2020-10-29 01:00:00,28.53927,-81.255138,28.53936400000001,-81.24363699999998,0.698,Stationary traffic from S Chickasaw Trl (Lake Underhill Rd) to Rouse Rd/Global Innovation Cir (Lake Underhill Rd) due to accident., Lake Underhill Rd,Orlando,Orange,FL,32825,US,US/Eastern,KORL,2020-10-28 12:53:00,88.0,88.0,61.0,29.92,10.0,ESE,15.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-7323211,Source1,2,2019-12-20 20:45:00,2019-12-20 21:18:06,37.663343,-122.105623,37.663343,-122.105623,0.0,At A St - Accident.,I-880 N,Hayward,Alameda,CA,94541,US,US/Pacific,KHWD,2019-12-20 20:54:00,50.0,50.0,89.0,30.08,6.0,WNW,3.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-3059149,Source2,2,2018-01-10 01:19:10,2018-01-10 02:03:49,34.136375,-117.536865,,,0.0,Right hand shoulder blocked due to accident on CA-210 Westbound at Exit 61 Day Creek Blvd.,Day Creek Blvd,Rancho Cucamonga,San Bernardino,CA,91739,US,US/Pacific,KONT,2018-01-10 00:53:00,48.9,,93.0,29.89,6.0,East,3.5,,Scattered Clouds,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-6718616,Source1,2,2020-12-03 03:19:39,2020-12-03 04:34:41,40.003669,-77.10945799999998,40.003966,-77.109812,0.028,Incident on MAIN ST near STATE ST Drive with caution., Carlisle Pike,York Springs,Adams,PA,17372-9515,US,US/Eastern,KTHV,2020-12-03 02:53:00,33.0,29.0,54.0,29.72,10.0,WSW,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-5297308,Source1,2,2022-09-21 12:21:00.000000000,2022-09-21 14:45:30.000000000,32.241101,-107.193978,32.251025,-107.107477,5.101,Stationary traffic on US-180 E - I-10 E - US-70 E from CR-B049/Exit 102 (I-10) to Corralitos Rd/Exit 127 (I-10) due to accident.,I-10,Las Cruces,Dona Ana,NM,88005,US,US/Mountain,KLRU,2022-09-21 12:15:00,86.0,86.0,33.0,25.61,10.0,SE,9.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
